"Codebook — 68 columns, in the exact order required by analysis_seminr.R",,,,,
#,Column name,Label,Type,Allowed values,Notes
1,ID,Respondent identifier,text,unique,Required. Any unique code.
2,DATE,Date of interview,date,yyyy-mm-dd,Required.
3,ENUM,Enumerator identifier,text,,Required — needed for the enumerator-effects robustness check.
4,DUR_min,Interview duration in minutes,integer,>0,Required — needed for the fast-completion flag.
5,STRATUM,Sampling stratum,integer,1–6,See 05_ValueLabels. Required for Table 9 response accounting.
6,TIER,Network position,integer,1–4,"See 05_ValueLabels. Used as the MGA grouping variable, NOT as a covariate."
7,SCR1,Keeps or supervises records?,integer,0/1,Screening. Must be 1 to be eligible.
8,SCR2,Participates in pricing / disposal decisions?,integer,0/1,Screening. Must be 1 to be eligible.
9,SCR3,Seasons in this role,integer,>=0,Screening. Must be >=3 (the outcome items are change over three seasons).
10,SCR4,Self-described role,integer,1–6,Assigns STRATUM. See 05_ValueLabels.
11,CAC1,Circular accounting capability item 1,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
12,CAC2,Circular accounting capability item 2,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
13,CAC3,Circular accounting capability item 3,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
14,CAC4,Circular accounting capability item 4,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
15,CAC5,Circular accounting capability item 5,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
16,CAC6,Circular accounting capability item 6,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
17,CAC7,Circular accounting capability item 7,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
18,CAC8,Circular accounting capability item 8,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
19,CAC9,Circular accounting capability item 9,integer,1–7,"Focal. Items 1–3 measurement, 4–6 loss costing, 7–9 recovery valuation. 7-point; 1 = not at all … 7 = to a very great extent"
20,CIT1,Circular information transparency item 1,integer,1–7,Focal. 7-point; 1 = not at all … 7 = to a very great extent
21,CIT2,Circular information transparency item 2,integer,1–7,Focal. 7-point; 1 = not at all … 7 = to a very great extent
22,CIT3,Circular information transparency item 3,integer,1–7,Focal. 7-point; 1 = not at all … 7 = to a very great extent
